Timestamp,What is your overall rating for Day 1?,What is your rating for session 1 ? (Morning),What is your rating for session 2? (Morning),What is your rating for session 3? (After-noon),The training material was presented in a clear and organized manner.,The supporting staff were helpful.,"The trainers responded to questions in an informative, appropriate and satisfactory manner.",Handouts/Course materials were clear and useful.,Upto what level did the first day help to increase your confidence in using python?
2/26/2021 16:23,9,9,9,9,10,9,9,8,9
2/26/2021 16:23,10,10,10,10,10,10,10,10,10
2/26/2021 16:23,9,8,9,9,7,8,8,8,9
2/26/2021 16:23,10,10,10,10,10,10,10,10,10
2/26/2021 16:23,10,10,9,9,10,10,10,8,8
2/26/2021 16:23,10,10,10,10,10,10,10,10,10
2/26/2021 16:23,9,7,6,8,8,8,8,8,8
2/26/2021 16:23,9,8,9,9,9,9,9,9,9
2/26/2021 16:24,10,10,10,10,10,10,10,10,10
2/26/2021 16:24,8,8,8,9,9,9,7,8,8
2/26/2021 16:24,10,10,10,10,10,10,10,10,10
2/26/2021 16:24,10,10,10,10,10,10,10,10,10
2/26/2021 16:24,10,10,10,10,10,10,10,10,10
2/26/2021 16:24,10,10,10,10,10,10,10,10,10
2/26/2021 16:24,8,8,9,7,10,8,9,9,7
2/26/2021 16:24,10,10,8,10,10,10,10,10,7
2/26/2021 16:24,8,7,7,9,10,10,10,10,7
2/26/2021 16:25,8,8,8,6,8,9,9,9,6
2/26/2021 16:25,10,10,10,10,10,10,10,10,9
2/26/2021 16:25,10,10,10,10,10,10,10,10,10
2/26/2021 16:25,10,8,9,10,9,9,9,10,9
2/26/2021 16:25,10,10,9,10,10,10,10,10,10
2/26/2021 16:25,10,10,9,10,9,10,10,10,7
2/26/2021 16:25,9,9,7,10,9,8,8,6,5
2/26/2021 16:25,10,10,10,10,10,10,10,10,10
2/26/2021 16:25,8,10,8,8,10,10,10,10,8
2/26/2021 16:25,7,9,7,7,8,10,8,8,5
2/26/2021 16:25,9,8,9,9,9,9,9,10,10
2/26/2021 16:25,10,10,10,5,10,10,6,10,10
2/26/2021 16:25,8,8,5,8,7,7,7,7,8
2/26/2021 16:26,10,10,9,10,10,10,10,10,10
2/26/2021 16:26,8,9,9,8,10,10,10,10,7
2/26/2021 16:26,10,10,10,10,10,10,10,10,8
2/26/2021 16:26,6,5,5,7,8,5,7,8,9
2/26/2021 16:26,10,10,10,10,10,10,10,10,10
2/26/2021 16:26,10,10,10,10,10,10,10,10,10
2/26/2021 16:26,9,9,9,9,10,9,9,9,10
2/26/2021 16:26,10,10,10,9,10,9,10,9,8
2/26/2021 16:27,10,10,10,10,10,10,10,10,10
2/26/2021 16:28,9,10,9,10,10,10,9,10,7
2/26/2021 16:28,8,9,8,8,7,9,8,7,5
2/26/2021 16:30,10,9,7,10,10,9,9,10,7
2/26/2021 16:30,9,9,7,9,10,10,9,9,7
2/26/2021 16:33,9,9,8,10,8,9,9,9,9
2/26/2021 16:50,8,8,8,7,9,8,8,7,9
2/26/2021 16:59,8,10,8,8,8,9,9,9,9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
